Time,Reading ID,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:07:34,455,42.6,21.6,193,1937,6831,ON,2
0:07:35,456,42.6,21.6,192,1933,6819,ON,2
0:07:36,457,42.6,21.6,192,1942,6889,ON,2
0:07:37,458,42.6,21.6,192,1923,6796,ON,2
0:07:38,459,42.6,21.6,192,1946,6755,ON,2
0:07:39,460,42.6,21.6,192,1914,6767,ON,2
0:07:40,461,42.6,21.6,192,1914,6825,ON,2
0:07:41,462,42.6,21.6,193,1914,6836,ON,2
0:07:42,463,42.5,21.5,192,1965,6854,ON,2
0:07:43,464,42.5,21.5,193,1940,6894,ON,2
0:07:44,465,42.5,21.5,193,1921,6941,ON,2
0:07:45,466,42.5,21.5,192,1937,6871,ON,2
0:07:46,467,42.6,21.6,192,1905,6993,ON,2
0:07:47,468,42.6,21.6,192,1972,6975,ON,2
0:07:48,469,42.5,21.5,192,1933,6935,ON,2
0:07:49,470,42.5,21.5,192,1949,6946,ON,2
0:07:50,471,42.7,21.6,192,1923,6923,ON,2
0:07:51,472,42.7,21.6,192,1942,6999,ON,2
0:07:52,473,42.7,21.6,193,1972,7155,ON,2
0:07:53,474,42.7,21.6,193,1972,7178,ON,2
0:07:54,475,42.7,21.6,193,1993,7039,ON,2
0:07:55,476,42.7,21.6,192,1995,7109,ON,2
